ID;HeatID;DateTime;Practice;Grade;chem1;chem2;chem3;procvar1;procvar2;procvar3;procvar4;procvar5
p32;H11114;26/7/18 11.07;XXWWYY;G3;0,14;0,68;0,07;1,41;0,71;10,78;3,28;13,09
p33;H11114;26/7/18 12.07;XXWWYY;G3;0,16;0,7;0,08;1,32;0,66;8,91;2,98;10,63
p34;H11114;26/7/18 13.07;XXWWYY;G3;0,18;0,72;0,09;1,45;0,73;8,78;2,96;9,1
p35;H11114;26/7/18 14.07;XXWWYY;G3;0,13;0,67;0,07;1,29;0,65;10,57;3,25;13,92
p36;H11114;26/7/18 15.07;XXWWYY;G3;0,12;0,66;0,06;1,39;0,7;12,28;3,5;15,9
p37;H11114;26/7/18 16.07;XXWWYY;G3;0,11;0,65;0,06;1,45;0,73;13,91;3,73;18,05
p38;H11114;26/7/18 17.07;XXWWYY;G3;0,06;0,6;0,03;1,45;0,73;24,89;4,99;35,34
p39;H11114;26/7/18 18.07;XXWWYY;G3;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p40;H11114;26/7/18 19.07;XXWWYY;G3;0,09;0,63;0,05;1,57;0,79;18,23;4,27;23,88
p41;H11114;26/7/18 20.07;XXWWYY;G3;0,1;0,64;0,05;1,45;0,73;15,23;3,9;20,23
p42;H11114;26/7/18 21.07;XXWWYY;G3;0,13;0,67;0,07;1,41;0,71;11,55;3,4;14,44
p43;H11114;26/7/18 22.07;XXWWYY;G3;0,11;0,65;0,06;1,32;0,66;12,66;3,56;17,25
p44;H11114;26/7/18 23.07;XXWWYY;G3;0,16;0,7;0,08;1,45;0,73;9,79;3,13;10,93
p45;H11114;27/7/18 0.07;XXWWYY;G3;0,14;0,68;0,07;1,29;0,65;9,86;3,14;12,66
p46;H11115;27/7/18 2.31;XXWWYY;G4;0,12;0,66;0,06;1,39;0,7;12,28;3,5;15,9
p47;H11116;27/7/18 14.31;XXWWYY;G4;0,17;0,71;0,09;1,45;0,73;9,25;3,04;9,96
p48;H11116;27/7/18 15.24;XXWWYY;G4;0,11;0,65;0,06;1,45;0,73;13,91;3,73;18,05
p49;H11116;27/7/18 16.18;XXWWYY;G4;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p50;H11116;27/7/18 17.11;XXWWYY;G4;0,11;0,65;0,06;1,57;0,79;15,06;3,88;18,76
p51;H11116;27/7/18 18.04;XXWWYY;G4;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p52;H11116;27/7/18 18.58;XXWWYY;G4;0,15;0,69;0,08;1,41;0,71;10,11;3,18;11,9
p53;H11116;27/7/18 19.51;XXWWYY;G4;0,17;0,71;0,09;1,32;0,66;8,42;2,9;9,74
p54;H11116;27/7/18 20.44;XXWWYY;G4;0,17;0,71;0,09;1,45;0,73;9,25;3,04;9,96
p55;H11116;27/7/18 21.38;XXWWYY;G4;0,14;0,68;0,07;1,29;0,65;9,86;3,14;12,66
p56;H11116;27/7/18 22.31;XXWWYY;G4;0,15;0,69;0,08;1,39;0,7;9,96;3,16;11,84
p57;H11116;27/7/18 23.24;XXWWYY;G4;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p58;H11116;28/7/18 0.18;XXWWYY;G4;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p59;H11117;28/7/18 3.43;EEIIZZ;G5;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p60;H11117;28/7/18 4.28;EEIIZZ;G5;0,17;0,71;0,09;1,57;0,79;10,02;3,17;10,15
p61;H11117;28/7/18 5.13;EEIIZZ;G5;0,11;0,65;0,06;1,45;0,73;13,91;3,73;18,05
p62;H11117;28/7/18 5.58;EEIIZZ;G5;0,15;0,69;0,08;1,41;0,71;10,11;3,18;11,9
p63;H11117;28/7/18 6.43;EEIIZZ;G5;0,11;0,65;0,06;1,32;0,66;12,66;3,56;17,25
p64;H11117;28/7/18 7.28;EEIIZZ;G5;0,12;0,66;0,06;1,45;0,73;12,81;3,58;16,2
p65;H11117;28/7/18 8.13;EEIIZZ;G5;0,15;0,69;0,08;1,29;0,65;9,25;3,04;11,55
p66;H11117;28/7/18 8.58;EEIIZZ;G5;0,17;0,71;0,09;1,39;0,7;8,87;2,98;9,86
p67;H11117;28/7/18 9.43;EEIIZZ;G5;0,17;0,71;0,09;1,45;0,73;9,25;3,04;9,96
p68;H11117;28/7/18 10.28;EEIIZZ;G5;0,14;0,68;0,07;1,45;0,73;11,08;3,33;13,23
p69;H11117;28/7/18 11.13;EEIIZZ;G5;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p70;H11117;28/7/18 11.58;EEIIZZ;G5;0,12;0,66;0,06;1,57;0,79;13,87;3,72;16,79
p71;H11117;28/7/18 12.43;EEIIZZ;G5;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p72;H11117;28/7/18 13.28;EEIIZZ;G5;0,18;0,72;0,09;1,41;0,71;8,54;2,92;9,05
p73;H11117;28/7/18 14.13;EEIIZZ;G5;0,18;0,72;0,09;1,32;0,66;7,99;2,83;8,93
p74;H11117;28/7/18 14.58;EEIIZZ;G5;0,39;0,93;0,2;1,45;0,73;4,44;2,11;0,48
p75;H11117;28/7/18 15.43;EEIIZZ;G5;0,13;0,67;0,07;1,29;0,65;10,57;3,25;13,92
p76;H11117;28/7/18 16.28;EEIIZZ;G5;0,15;0,69;0,08;1,39;0,7;9,96;3,16;11,84
p77;H11117;28/7/18 17.13;EEIIZZ;G5;0,15;0,69;0,08;1,45;0,73;10,39;3,22;12,01
p78;H11118;28/7/18 20.13;PPQQRR;G6;0,21;0,75;0,11;1,45;0,73;7,63;2,76;6,94
p79;H11118;28/7/18 20.45;PPQQRR;G6;0,26;0,8;0,13;1,45;0,73;6,3;2,51;4,35
p80;H11118;28/7/18 21.17;PPQQRR;G6;0,2;0,74;0,1;1,57;0,79;8,64;2,94;7,63
p81;H11118;28/7/18 21.49;PPQQRR;G6;0,24;0,78;0,12;1,45;0,73;6,77;2,6;5,27
p82;H11118;28/7/18 22.21;PPQQRR;G6;0,2;0,74;0,1;1,41;0,71;7,76;2,78;7,58
p83;H11118;28/7/18 22.53;PPQQRR;G6;0,21;0,75;0,11;1,32;0,66;6,95;2,64;6,92
p84;H11118;28/7/18 23.25;PPQQRR;G6;0,24;0,78;0,12;1,45;0,73;6,77;2,6;5,27
p85;H11118;28/7/18 23.57;PPQQRR;G6;0,26;0,8;0,13;1,29;0,65;5,61;2,37;4,55
p86;H11119;29/7/18 3.57;PPQQRR;G6;0,26;0,8;0,13;1,39;0,7;6,04;2,46;4,43
p87;H11119;29/7/18 4.57;PPQQRR;G6;0,23;0,77;0,12;1,45;0,73;7,03;2,65;5,79
p88;H11119;29/7/18 5.44;PPQQRR;G6;0,24;0,78;0,12;1,45;0,73;6,77;2,6;5,27
p89;H11119;29/7/18 6.30;PPQQRR;G6;0,21;0,75;0,11;1,45;0,73;7,63;2,76;6,94
p90;H11119;29/7/18 7.17;PPQQRR;G6;0,24;0,78;0,12;1,57;0,79;7,33;2,71;5,16
p91;H11119;29/7/18 8.03;PPQQRR;G6;0,27;0,81;0,14;1,45;0,73;6,1;2,47;3,94
p92;H11119;29/7/18 8.50;PPQQRR;G6;0,27;0,81;0,14;1,41;0,71;5,93;2,43;4
p93;H11119;29/7/18 9.36;PPQQRR;G6;0,48;1,02;0,24;1,32;0,66;3,41;1,85;0,44
p94;H11119;29/7/18 10.22;PPQQRR;G6;0,22;0,76;0,11;1,45;0,73;7,32;2,7;6,34
p95;H11119;29/7/18 11.09;PPQQRR;G6;0,24;0,78;0,12;1,29;0,65;6,02;2,45;5,39
p96;H11119;29/7/18 11.55;PPQQRR;G6;0,24;0,78;0,12;1,39;0,7;6,49;2,55;5,32
p97;H11119;29/7/18 12.42;PPQQRR;G6;0,18;0,72;0,09;1,45;0,73;8,78;2,96;9,1
p98;H11119;29/7/18 13.28;PPQQRR;G6;0,13;0,67;0,07;1,45;0,73;11,88;3,45;14,61
p99;H11120;30/7/18 1.28;PPQQRR;G7;0,65;1,19;0,33;1,45;0,73;2,96;1,72;9,05
p100;H11120;30/7/18 2.26;PPQQRR;G7;0,68;1,22;0,34;1,57;0,79;3,09;1,76;9,19
